brand,engine_type,fuel,transmission,km,price,year
Škoda,"OCTAVIA TOP SELECTION 2,0 TDI DSG 110 kW",nafta,automatická převodovka,20091.0,719000,2025.0
Honda,CIVIC 5D 2.0 i-MMD Advance 2026,hybrid,automatická převodovka,0.0,839900,2026.0
Honda,JAZZ CROSSTAR 1.5 i-MMD Advance 2025,hybrid,automatická převodovka,0.0,599900,2026.0
Honda,CR-V e:HEV 2.0 i-MMD Advance AWD 2025,hybrid,automatická převodovka,0.0,1079900,2026.0
Honda,CR-V e:HEV 2.0 i-MMD Advance AWD 2025,hybrid,automatická převodovka,0.0,1079900,2026.0
Honda,CR-V e:HEV 2.0 i-MMD Advance AWD 2025,hybrid,automatická převodovka,0.0,1079900,2026.0
Honda,CR-V e:HEV 2.0 i-MMD Advance AWD 2025,hybrid,automatická převodovka,0.0,1079900,2026.0
Honda,CR-V e:HEV 2.0 i-MMD Advance AWD 2025,hybrid,automatická převodovka,0.0,1079900,2026.0
Honda,CR-V e:HEV 2.0 i-MMD Advance AWD 2025,hybrid,automatická převodovka,0.0,1079900,2026.0
Honda,CR-V e:HEV 2.0 i-MMD Advance AWD 2025,hybrid,automatická převodovka,0.0,1079900,2026.0
Honda,CR-V e:HEV 2.0 i-MMD Advance AWD 2025,hybrid,automatická převodovka,0.0,1079900,2026.0
Honda,CR-V e:HEV 2.0 i-MMD Advance AWD 2025,hybrid,automatická převodovka,0.0,1079900,2026.0
Honda,CR-V e:HEV 2.0 i-MMD Advance AWD 2025,hybrid,automatická převodovka,0.0,1079900,2026.0
Honda,CR-V e:HEV 2.0 i-MMD Advance AWD 2025,hybrid,automatická převodovka,0.0,1079900,2026.0
Honda,CR-V e:HEV 2.0 i-MMD Advance AWD 2025,hybrid,automatická převodovka,0.0,1079900,2026.0
Honda,CR-V e:HEV 2.0 i-MMD Advance AWD 2025,hybrid,automatická převodovka,0.0,1079900,2026.0
Honda,CR-V e:HEV 2.0 i-MMD Advance AWD 2025,hybrid,automatická převodovka,0.0,1079900,2026.0
Audi,A6 allroad quattro 55 TDI tiptronic,nafta,automatická převodovka,51300.0,1529900,2023.0
Volkswagen,"Touran People 2,0 TDI 7DSG EVO",nafta,automatická převodovka,20019.0,829900,2025.0
Audi,A6 Sportback e-tron Performance,elektro,automatická převodovka,14723.0,1869900,2025.0
Volkswagen,PASSAT VARIANT ELEGANCE 2.0 TDI 7DSG,nafta,automatická převodovka,149034.0,529900,2023.0
Ford,"GALAXY 2,0 TDCI  7-míst",nafta,manuální převodovka,108695.0,359900,2016.0
Volkswagen,"Tiguan People 2,0 TDI 110 kW",nafta,automatická převodovka,0.0,975900,2026.0
Volkswagen,"Tiguan People 2,0 TDI 110 kW",nafta,automatická převodovka,0.0,975900,2026.0
Volkswagen,"Tiguan People 2,0 TDI 110 kW",nafta,automatická převodovka,0.0,975900,2026.0
Volkswagen,"Tiguan People 1,5 eTSI 110 kW mHEV",benzín,automatická převodovka,0.0,903900,2026.0
Volkswagen,"Tiguan People 1,5 eTSI 110 kW mHEV",benzín,automatická převodovka,0.0,903900,2026.0
Volkswagen,"Tiguan People 1,5 eTSI 110 kW mHEV",benzín,automatická převodovka,0.0,903900,2026.0
Škoda,"SCALA SELECTION 1,0 TSI 85 kW",benzín,manuální převodovka,0.0,515800,2026.0
Škoda,"SCALA SELECTION 1,0 TSI 85 kW",benzín,manuální převodovka,0.0,515800,2026.0
Škoda,"SCALA SELECTION 1,0 TSI 85 kW",benzín,manuální převodovka,0.0,519300,2026.0
Škoda,"SCALA SELECTION 1,0 TSI 85 kW",benzín,manuální převodovka,0.0,519300,2026.0
Škoda,"SCALA SELECTION 1,0 TSI 85 kW",benzín,manuální převodovka,0.0,519300,2026.0
Škoda,"SCALA SELECTION 1,0 TSI 85 kW",benzín,manuální převodovka,0.0,519300,2026.0
Škoda,"SCALA SELECTION 1,0 TSI 85 kW DSG",benzín,automatická převodovka,0.0,579800,2026.0
Škoda,"SCALA SELECTION 1,0 TSI 85 kW DSG",benzín,automatická převodovka,0.0,559300,2026.0
Škoda,"SCALA SELECTION 1,0 TSI 85 kW DSG",benzín,automatická převodovka,0.0,559300,2026.0
Škoda,"SCALA SELECTION 1,0 TSI 85 kW DSG",benzín,automatická převodovka,0.0,559300,2026.0
Škoda,"SCALA SELECTION 1,0 TSI 85 kW DSG",benzín,automatická převodovka,0.0,559300,2026.0
Škoda,"SCALA SELECTION 1,0 TSI 85 kW",benzín,manuální převodovka,0.0,513800,2026.0
Škoda,"SCALA SELECTION 1,0 TSI 85 kW DSG",benzín,automatická převodovka,0.0,553800,2026.0
Škoda,"SCALA SELECTION 1,0 TSI 85 kW DSG",benzín,automatická převodovka,0.0,579800,2026.0
Škoda,"SCALA SELECTION 1,0 TSI 85 kW DSG",benzín,automatická převodovka,0.0,579800,2026.0
Škoda,"SCALA SELECTION 1,0 TSI 85 kW DSG",benzín,automatická převodovka,0.0,579800,2026.0
Škoda,"FABIA COMBI STYLE 1,0 TSI 81 kW",benzín,manuální převodovka,146859.0,259900,2020.0
Škoda,"SCALA SELECTION 1,0 TSI 85 kW DSG",benzín,automatická převodovka,0.0,579800,2026.0
Škoda,"SCALA SELECTION 1,0 TSI 85 kW",benzín,manuální převodovka,0.0,515800,2026.0
Volkswagen,"Tiguan R-line ME 2,0 TDI 7DSG",nafta,automatická převodovka,153657.0,479900,2020.0
Mazda,"3  2,0 i AUTOMAT",benzín,automatická převodovka,100026.0,379900,2019.0
Škoda,"SCALA SELECTION 1,0 TSI 85 kW",benzín,manuální převodovka,0.0,510300,2026.0
Škoda,"SCALA SELECTION 1,0 TSI 85 kW",benzín,manuální převodovka,0.0,510300,2026.0
Audi,S6 Avant e-tron quattro,elektro,automatická převodovka,10125.0,2199900,2025.0
Volkswagen,"Golf GTI Edition 50 2,0 TSI 239 kW 7DSG",benzín,automatická převodovka,0.0,1270000,2026.0
Škoda,"SUPERB AMBITION 1,5 TSI 110 kW",benzín,manuální převodovka,78230.0,389900,2020.0
Volkswagen,"Tiguan People 1,5 eTSI 110 kW mHEV",benzín,automatická převodovka,0.0,873500,2026.0
