brand,model,engine_type,fuel,transmission,km,price,year,type
Škoda,OCTAVIA,2.0 TDI,Diesel,Manual,128529.0,389900,2020.0,autojarov
Volkswagen,Tiguan,2.0 TDI,Diesel,Automatic,28472.0,879900,2025.0,autojarov
Audi,A5,1.8 TFSI,Petrol,Manual,162828.0,259900,2016.0,autojarov
Škoda,SUPERB,2.0 TDI,Diesel,Automatic,149388.0,539900,2020.0,autojarov
Škoda,KAMIQ,1.0 TSI,Petrol,Automatic,25553.0,589900,2025.0,autojarov
Kia,CEED,1.4 COMFORT,Petrol,Manual,134354.0,49900,2010.0,autojarov
Škoda,SCALA,1.0 TSI,Petrol,Automatic,27531.0,499000,2025.0,autojarov
Škoda,KODIAQ,2.0 TSI,Petrol,Automatic,83516.0,899900,2022.0,autojarov
Volkswagen,Passat,2.0 TDI,Diesel,Automatic,19030.0,949900,2025.0,autojarov
Škoda,OCTAVIA,2.0 TDI,Diesel,Automatic,98537.0,569900,2022.0,autojarov
Škoda,FABIA,1.0 TSI,Petrol,Manual,85288.0,289900,2021.0,autojarov
Škoda,FABIA,1.0 TSI,Petrol,Manual,90946.0,279900,2021.0,autojarov
Volkswagen,Tiguan,2.0 TDI,Diesel,Automatic,125482.0,639900,2021.0,autojarov
Volkswagen,Tiguan,2.0 TDI,Diesel,Automatic,123340.0,659900,2022.0,autojarov
Škoda,FABIA,1.0 TSI,Petrol,Manual,43224.0,299900,2022.0,autojarov
Volkswagen,T-Roc,1.5 TSI,Petrol,Manual,115065.0,429900,2022.0,autojarov
Škoda,KAROQ,1.5 TSI,Petrol,Automatic,116703.0,489900,2021.0,autojarov
Škoda,FABIA,1.0 MPI,Petrol,Manual,14142.0,366000,2025.0,autojarov
Škoda,OCTAVIA,1.5 TSI,Petrol,Automatic,29380.0,659900,2025.0,autojarov
Volkswagen,Tiguan,1.5 ETSI,Petrol,Automatic,0.0,865900,2026.0,autojarov
Volkswagen,Tiguan,1.5 ETSI,Petrol,Automatic,0.0,1045000,2026.0,autojarov
Volkswagen,Tiguan,1.5 ETSI,Petrol,Automatic,0.0,1053000,2026.0,autojarov
Škoda,KAROQ,1.5 TSI,Petrol,Automatic,0.0,797900,2026.0,autojarov
Volkswagen Užitkové vozy,MULTIVAN,6.1 TREND,Diesel,Automatic,101874.0,919900,2021.0,autojarov
Hyundai,i30,1.0 T,Petrol,Manual,49520.0,349900,2024.0,autojarov
Honda,CIVIC,2.0 I,Hybrid,Automatic,0.0,859900,2026.0,autojarov
Volkswagen Užitkové vozy,CADDY,2.0 TDI,Diesel,Manual,37869.0,699900,2024.0,autojarov
Volkswagen,Tiguan,2.0 TDI,Diesel,Automatic,30066.0,869000,2025.0,autojarov
Volkswagen Užitkové vozy,CADDY,1.5 TSI,Petrol,Manual,115408.0,459900,2021.0,autojarov
Volkswagen Užitkové vozy,CADDY,2.0 TDI,Diesel,Manual,102506.0,439900,2021.0,autojarov
Škoda,FABIA,1.0 TSI,Petrol,Manual,84271.0,279900,2021.0,autojarov
Škoda,KAMIQ,1.5 TSI,Petrol,Manual,0.0,654800,2026.0,autojarov
Volkswagen,BEETLE,2.0 TSI,Petrol,Automatic,74609.0,379900,2013.0,autojarov
Škoda,FABIA,1.0 TSI,Petrol,Manual,64942.0,319900,2021.0,autojarov
Volkswagen,Tiguan,1.4 TSI,Petrol,Manual,104391.0,399900,2018.0,autojarov
Škoda,CITIGO,1.0 MPI,Petrol,Automatic,16763.0,219900,2017.0,autojarov
Toyota,COROLLA,1.6 VALVEMATIC,Petrol,Manual,116067.0,239900,2015.0,autojarov
