brand,model,engine_type,fuel,transmission,km,price,year,type
Škoda,OCTAVIA AMBITION 85 kW,2.0 TDI,nafta,Manual,128529.0,389900,2020.0,autojarov
Volkswagen,Tiguan People 110 kW,2.0 TDI,nafta,Automatic,28472.0,879900,2025.0,autojarov
Audi,A5 SPB 1.8 TFSI 130 kW S-line,1.8 TFSI,benzín,Manual,162828.0,259900,2016.0,autojarov
Škoda,SUPERB COMBI SCOUT DSG 4x4,2.0 TDI,nafta,Automatic,149388.0,539900,2020.0,autojarov
Škoda,KAMIQ MONTE CARLO 85 kW DSG,1.0 TSI,benzín,Automatic,25553.0,589900,2025.0,autojarov
Kia,CEED,1.4 COMFORT,benzín,Manual,134354.0,49900,2010.0,autojarov
Škoda,SCALA TOP SELECTION 85 kW DSG,1.0 TSI,benzín,Automatic,27531.0,499000,2025.0,autojarov
Škoda,KODIAQ RS 180 kW DSG 4x4,2.0 TSI,benzín,Automatic,83516.0,899900,2022.0,autojarov
Volkswagen,Passat R-Line 110 kW DSG,2.0 TDI,nafta,Automatic,19030.0,949900,2025.0,autojarov
Škoda,OCTAVIA COMBI STYLE 110 kW DSG 4x4,2.0 TDI,nafta,Automatic,98537.0,569900,2022.0,autojarov
Škoda,FABIA COMBI STYLE 70 kW,1.0 TSI,benzín,Manual,85288.0,289900,2021.0,autojarov
Škoda,FABIA COMBI STYLE 70 kW,1.0 TSI,benzín,Manual,90946.0,279900,2021.0,autojarov
Volkswagen,Tiguan Allspace Life 110 kW 4M 7,2.0 TDI,nafta,Automatic,125482.0,639900,2021.0,autojarov
Volkswagen,Tiguan Allspace Life 110 kW 7DSG,2.0 TDI,nafta,Automatic,123340.0,659900,2022.0,autojarov
Škoda,FABIA COMBI AMBITION 70 kW,1.0 TSI,benzín,Manual,43224.0,299900,2022.0,autojarov
Volkswagen,TOURAN COMFORTLINE DSG,2.0 TDI,nafta,Automatic,221656.0,289900,2017.0,autojarov
Volkswagen,T-Roc Sport ACT 6G,1.5 TSI,benzín,Manual,115065.0,429900,2022.0,autojarov
Škoda,KAROQ STYLE 110 kW DSG,1.5 TSI,benzín,Automatic,116703.0,489900,2021.0,autojarov
Škoda,FABIA SELECTION 59 kW,1.0 MPI,benzín,Manual,14142.0,366000,2025.0,autojarov
Škoda,OCTAVIA COMBI STYLE 110 kW,2.0 TDI,nafta,Manual,210375.0,249900,2016.0,autojarov
Škoda,OCTAVIA COMBI SELECTION 110 kW D,1.5 TSI,benzín,Automatic,29380.0,659900,2025.0,autojarov
Volkswagen,"Tiguan People 1,5 eTSI 96 kW mHEV",1.5 ETSI,benzín,Automatic,0.0,865900,2026.0,autojarov
Volkswagen,"Tiguan People 1,5 eTSI 96 kW mHEV",1.5 ETSI,benzín,Automatic,0.0,865900,2026.0,autojarov
Volkswagen,"Tiguan People 1,5 eTSI 96 kW mHEV",1.5 ETSI,benzín,Automatic,0.0,865900,2026.0,autojarov
Volkswagen,"Tiguan R-Line 1,5 eTSI 110 kW mHEV",1.5 ETSI,benzín,Automatic,0.0,1045000,2026.0,autojarov
Volkswagen,"Tiguan R-Line 1,5 eTSI 110 kW mHEV",1.5 ETSI,benzín,Automatic,0.0,1053000,2026.0,autojarov
Škoda,KAROQ SELECTION 110 kW DSG,1.5 TSI,benzín,Automatic,0.0,797900,2026.0,autojarov
Škoda,KODIAQ STYLE PLUS 140 kW DSG 4x4,2.0 TDI,nafta,Automatic,233300.0,409900,2017.0,autojarov
Volkswagen Užitkové vozy,"MULTIVAN 6.1 TREND 2,0 TDI 110 kW 7 míst",6.1 TREND,nafta,Automatic,101874.0,919900,2021.0,autojarov
Hyundai,i30 -GDI 73kW,1.0 T,benzín,Manual,49520.0,349900,2024.0,autojarov
Honda,CIVIC 5D 2.0 i-MMD Advance 2026,2.0 I,hybrid,Automatic,0.0,859900,2026.0,autojarov
Audi,A6 3.0 TDI quattro Stronic,3.0 TDI,nafta,Automatic,237599.0,369900,2018.0,autojarov
Volkswagen Užitkové vozy,CADDY MAXI,2.0 TDI,nafta,Manual,37869.0,699900,2024.0,autojarov
Volkswagen,Tiguan People 110 kW DSG,2.0 TDI,nafta,Automatic,30066.0,869000,2025.0,autojarov
Volkswagen Užitkové vozy,CADDY,1.5 TSI,benzín,Manual,115408.0,459900,2021.0,autojarov
Volkswagen Užitkové vozy,CADDY,2.0 TDI,nafta,Manual,102506.0,439900,2021.0,autojarov
Škoda,FABIA COMBI STYLE 70 kW,1.0 TSI,benzín,Manual,84271.0,279900,2021.0,autojarov
Škoda,KAMIQ SELECTION 110 kW,1.5 TSI,benzín,Manual,0.0,654800,2026.0,autojarov
Škoda,KAMIQ SELECTION 110 kW,1.5 TSI,benzín,Manual,0.0,654800,2026.0,autojarov
Škoda,OCTAVIA COMBI ELEGANCE,2.0 TDI,nafta,Manual,208374.0,79900,2007.0,autojarov
Volkswagen,BEETLE SPORT 6DSG,2.0 TSI,benzín,Automatic,74609.0,379900,2013.0,autojarov
Škoda,FABIA STYLE 70 kW,1.0 TSI,benzín,Manual,64942.0,319900,2021.0,autojarov
Škoda,"FABIA COMBI SPORT 1,6 16V 77 kW",,benzín,Manual,210940.0,54900,2009.0,autojarov
Volkswagen,Passat Variant Highline DSG,2.0 TDI,nafta,Automatic,214687.0,349900,2017.0,autojarov
Volkswagen,Tiguan Maraton Edition 1.4 TSI,1.4 TSI,benzín,Manual,104391.0,399900,2018.0,autojarov
Škoda,CITIGO STYLE 44kW AUTOMAT,1.0 MPI,benzín,Automatic,16763.0,219900,2017.0,autojarov
Toyota,COROLLA,1.6 VALVEMATIC,benzín,Manual,116067.0,239900,2015.0,autojarov
Volkswagen,Polo Life 7DSG,1.0 TSI,benzín,Automatic,36207.0,389900,2022.0,autojarov
Toyota,RAV4 -i COMFORT,2.0 VVT,benzín,Manual,41221.0,629900,2022.0,autojarov
Škoda,KODIAQ STYLE 147 kW DSG 4x4,2.0 TDI,nafta,Automatic,117497.0,689900,2021.0,autojarov
Volkswagen,Taigo Life 5G,1.0 TSI,benzín,Manual,64224.0,399000,2022.0,autojarov
Honda,CIVIC 5D 2.0 i-MMD Sport 2026,2.0 I,hybrid,Automatic,0.0,799900,2026.0,autojarov
Honda,ZR-V e:HEV 2.0 i-MMD Advance 2026,2.0 I,hybrid,Automatic,0.0,882000,2026.0,autojarov
Honda,Prelude e:HEV 2.0 Advance 2026,2.0 ADVANCE,hybrid,Automatic,0.0,1199900,2026.0,autojarov
Škoda,SCALA TOP SELECTION 85 kW DSG,1.0 TSI,benzín,Automatic,9845.0,519000,2025.0,autojarov
